Date,State,FIPS,Cases,Deaths,#NoMasks,#BurnYourMask,#IWillNotComply,#OpenAmerica,#OpenSchools,#WearAMask,#WearADamnMask
2020-03-02,New York,36,1,0,2,0,2,0,0,3,0
2020-03-03,New York,36,1,0,1,0,5,0,0,17,0
2020-03-04,New York,36,9,0,2,0,3,0,0,4,0
2020-03-05,New York,36,11,0,3,0,1,0,0,4,2
2020-03-06,New York,36,22,0,2,0,1,0,0,9,0
2020-03-07,New York,36,45,0,2,0,2,0,1,6,0
2020-03-08,New York,36,17,0,1,0,3,0,0,2,0
2020-03-09,New York,36,36,0,1,0,2,0,0,1,1
2020-03-10,New York,36,31,0,2,0,2,0,0,23,0
2020-03-11,New York,36,44,0,2,0,2,0,0,6,0
2020-03-12,New York,36,109,0,4,0,2,0,0,3,0
2020-03-13,New York,36,95,0,3,0,3,0,0,11,0
2020-03-14,New York,36,189,2,6,0,0,0,0,8,0
2020-03-15,New York,36,122,4,5,0,4,0,0,7,0
2020-03-16,New York,36,218,4,3,0,5,0,6,13,0
2020-03-17,New York,36,425,8,4,0,19,0,4,29,0
2020-03-18,New York,36,1012,14,5,0,16,2,3,53,0
2020-03-19,New York,36,1774,7,7,0,30,0,3,38,0
2020-03-20,New York,36,2952,29,16,0,21,0,0,51,0
2020-03-21,New York,36,3258,27,14,0,8,1,1,40,0
2020-03-22,New York,36,4817,47,12,0,7,1,3,44,0
2020-03-23,New York,36,5711,41,17,0,14,11,0,63,1
2020-03-24,New York,36,4805,81,10,0,6,27,1,73,0
2020-03-25,New York,36,7413,117,10,0,12,51,1,103,0
2020-03-26,New York,36,5941,121,12,0,5,37,2,102,0
2020-03-27,New York,36,5688,143,9,0,15,27,1,73,0
2020-03-28,New York,36,8771,290,10,0,7,15,0,106,1
2020-03-29,New York,36,6266,245,10,0,9,9,1,111,0
2020-03-30,New York,36,7721,332,6,0,3,53,1,234,0
2020-03-31,New York,36,8707,417,5,0,5,29,0,246,0
2020-04-01,New York,36,8153,486,13,0,8,31,0,321,1
2020-04-02,New York,36,8996,548,10,0,7,23,1,308,0
2020-04-03,New York,36,10329,753,7,0,16,44,0,461,0
2020-04-04,New York,36,12274,819,11,0,20,71,0,587,2
2020-04-05,New York,36,8122,800,12,0,9,72,0,764,0
2020-04-06,New York,36,9304,814,5,0,9,43,1,500,2
2020-04-07,New York,36,8314,1036,7,0,21,26,1,432,0
2020-04-08,New York,36,9568,953,4,0,12,48,0,439,0
2020-04-09,New York,36,10765,1028,4,0,25,78,0,343,1
2020-04-10,New York,36,10794,996,8,0,23,77,0,347,2
2020-04-11,New York,36,10160,997,5,0,34,106,1,374,0
2020-04-12,New York,36,8435,957,4,0,38,163,0,289,1
2020-04-13,New York,36,6548,882,6,0,40,134,0,271,2
2020-04-14,New York,36,7402,1003,3,0,27,214,1,291,1
2020-04-15,New York,36,11755,936,7,0,21,182,0,269,1
2020-04-16,New York,36,8631,732,6,0,30,225,0,346,1
2020-04-17,New York,36,7532,804,11,0,42,559,7,349,2
2020-04-18,New York,36,7249,668,13,0,16,414,7,304,0
2020-04-19,New York,36,6199,652,15,0,48,449,0,272,1
2020-04-20,New York,36,4867,619,15,0,34,438,1,292,3
2020-04-21,New York,36,4324,628,20,0,20,480,2,389,3
2020-04-22,New York,36,5659,607,15,0,7,595,1,362,3
2020-04-23,New York,36,6341,565,20,0,25,400,4,386,0
2020-04-24,New York,36,8286,547,40,0,17,514,3,503,1
2020-04-25,New York,36,10683,567,22,0,24,505,0,472,0
2020-04-26,New York,36,6013,478,16,0,14,371,2,311,1
2020-04-27,New York,36,4077,463,28,0,18,465,1,281,1
2020-04-28,New York,36,3285,510,30,0,24,694,4,307,4
2020-04-29,New York,36,4718,510,35,0,24,608,9,648,3
2020-04-30,New York,36,4702,329,34,0,28,355,4,836,9
2020-05-01,New York,36,3879,225,70,2,53,315,0,457,4
2020-05-02,New York,36,4559,194,71,0,63,414,9,431,1
2020-05-03,New York,36,3699,541,73,0,42,682,5,456,0
2020-05-04,New York,36,2524,212,86,0,41,635,1,568,3
2020-05-05,New York,36,2302,240,77,0,36,563,3,734,8
2020-05-06,New York,36,2746,928,116,0,29,379,5,895,10
2020-05-07,New York,36,3526,250,112,1,31,519,2,791,3
2020-05-08,New York,36,2873,152,125,0,35,351,1,770,3
2020-05-09,New York,36,2715,226,104,1,22,185,4,966,11
2020-05-10,New York,36,2138,214,120,0,25,302,2,1002,9
2020-05-11,New York,36,1610,205,104,0,42,237,5,784,9
2020-05-12,New York,36,1438,279,113,2,33,316,4,1036,9
2020-05-13,New York,36,2123,166,173,2,36,520,6,908,9
2020-05-14,New York,36,2364,169,151,3,48,531,16,956,4
2020-05-15,New York,36,2759,138,148,1,59,387,13,1107,13
2020-05-16,New York,36,2185,198,212,3,44,331,12,1204,6
2020-05-17,New York,36,1901,215,140,0,59,341,14,984,3
2020-05-18,New York,36,1241,134,195,1,53,413,10,946,6
2020-05-19,New York,36,1479,135,241,0,70,437,8,1040,7
2020-05-20,New York,36,1478,103,174,0,25,263,15,952,9
2020-05-21,New York,36,2078,123,181,2,44,289,10,1647,37
2020-05-22,New York,36,1678,139,234,1,42,414,7,1930,17
2020-05-23,New York,36,1754,98,278,5,46,523,9,1735,16
2020-05-24,New York,36,1601,146,251,7,29,343,4,2154,7
2020-05-25,New York,36,1279,92,239,2,36,383,4,2505,19
2020-05-26,New York,36,1044,103,278,0,36,294,18,2182,17
2020-05-27,New York,36,1132,98,376,5,52,334,4,2251,22
2020-05-28,New York,36,1758,99,344,5,50,248,5,2120,11
2020-05-29,New York,36,1549,97,284,2,29,187,12,1938,14
2020-05-30,New York,36,1363,77,268,1,29,119,14,958,22
2020-05-31,New York,36,1104,87,144,0,18,85,4,688,7
2020-06-01,New York,36,945,67,85,1,14,60,8,598,5
2020-06-02,New York,36,1361,81,131,1,20,55,9,556,3
2020-06-03,New York,36,1043,71,95,1,14,45,15,473,0
2020-06-04,New York,36,1053,93,77,1,6,52,10,491,1
2020-06-05,New York,36,1042,55,97,1,13,82,1,535,2
2020-06-06,New York,36,1083,57,134,3,12,92,10,566,1
2020-06-07,New York,36,777,60,133,1,20,93,5,658,0
2020-06-08,New York,36,712,56,127,0,16,50,5,604,4
2020-06-09,New York,36,690,70,121,0,23,37,4,682,3
2020-06-10,New York,36,664,67,173,1,13,51,7,713,0
2020-06-11,New York,36,724,55,146,2,19,50,13,709,8
2020-06-12,New York,36,821,80,127,1,15,72,6,919,16
2020-06-13,New York,36,912,54,141,6,14,68,6,1298,23
2020-06-14,New York,36,694,40,103,8,22,34,3,1348,69
2020-06-15,New York,36,623,40,109,1,14,28,2,1586,81
2020-06-16,New York,36,630,38,187,2,14,36,4,2088,65
2020-06-17,New York,36,561,39,144,4,13,15,10,2063,108
2020-06-18,New York,36,626,45,210,5,11,19,4,3391,164
2020-06-19,New York,36,794,49,358,6,32,29,4,3244,192
2020-06-20,New York,36,707,23,381,12,39,10,6,3705,313
2020-06-21,New York,36,665,45,308,21,39,8,3,3310,149
2020-06-22,New York,36,555,50,205,9,11,12,3,1677,88
2020-06-23,New York,36,598,36,256,12,17,6,3,2530,209
2020-06-24,New York,36,575,31,270,9,33,14,8,2603,588
2020-06-25,New York,36,738,28,434,13,82,5,9,3277,5181
2020-06-26,New York,36,804,46,510,11,75,16,5,4408,6125
2020-06-27,New York,36,697,30,775,19,105,14,10,7035,4904
2020-06-28,New York,36,624,32,590,28,81,13,4,7221,3717
2020-06-29,New York,36,391,6,377,37,58,12,5,6009,2496
2020-06-30,New York,36,458,633,579,48,86,14,12,6734,2352
2020-07-01,New York,36,628,15,701,196,88,11,11,6867,2276
2020-07-02,New York,36,872,23,614,78,68,31,19,6792,3821
2020-07-03,New York,36,919,22,704,114,127,75,9,6341,7188
2020-07-04,New York,36,725,24,678,85,92,57,9,6701,6605
2020-07-05,New York,36,536,35,520,155,36,33,4,5288,4571
2020-07-06,New York,36,516,16,411,85,18,21,2,4742,2470
2020-07-07,New York,36,590,23,527,50,33,27,10,6369,3196
2020-07-08,New York,36,691,11,702,33,41,26,33,6040,3648
2020-07-09,New York,36,588,34,888,27,76,38,239,6458,2795
2020-07-10,New York,36,790,25,774,27,90,23,247,5774,3551
2020-07-11,New York,36,727,15,796,32,124,41,185,7609,3233
2020-07-12,New York,36,679,10,732,17,79,13,103,6210,3078
2020-07-13,New York,36,559,46,619,20,47,19,106,6451,2508
